num_features,model,runtime
1.0,SVC_linear,0.09792065620422363
2.0,SVC_linear,0.07257294654846191
3.0,SVC_linear,0.07170987129211426
4.0,SVC_linear,0.0719144344329834
5.0,SVC_linear,0.07625579833984375
6.0,SVC_linear,0.07538866996765137
7.0,SVC_linear,0.07657480239868164
8.0,SVC_linear,0.07185196876525879
1.0,SVC_rbf,0.3281111717224121
2.0,SVC_rbf,0.32369065284729004
3.0,SVC_rbf,0.39367151260375977
4.0,SVC_rbf,0.18068599700927734
5.0,SVC_rbf,0.19199013710021973
6.0,SVC_rbf,0.18445849418640137
7.0,SVC_rbf,0.1900331974029541
8.0,SVC_rbf,0.18274545669555664
