f1_test,f1_train,prec_train,prec_test,recall_train,recall_test,elapsed,model,tau,C
0.5111731843575419,0.6666666666666666,0.5,0.3433395872420263,1.0,1.0,35.68663573265076,Pegasos QSVC,1,10
0.5111731843575419,0.6666666666666666,0.5,0.3433395872420263,1.0,1.0,0.0013201236724853,Pegasos QSVC,1,200
0.3363636363636363,0.3664596273291925,1.0,1.0,0.2243346007604562,0.2021857923497267,1.6389257907867432,Pegasos QSVC,20,750
0.5133239831697054,0.6694951209164192,0.5031887755102041,0.3452830188679245,1.0,1.0,2.282172918319702,Pegasos QSVC,50,1000
0.9298701298701298,0.9685929648241206,0.9601494396014943,0.8861386138613861,0.9771863117870724,0.9781420765027322,27.81045508384705,Pegasos QSVC,200,750
0.9315068493150686,0.9377865094957434,0.9701897018970188,0.934065934065934,0.9074778200253484,0.9289617486338798,9.428201913833618,Pegasos QSVC,100,200
0.8260869565217392,0.8685415304120342,0.8972972972972973,0.8216216216216217,0.8415716096324461,0.8306010928961749,0.5795328617095947,Pegasos QSVC,10,500
0.5111731843575419,0.6666666666666666,0.5,0.3433395872420263,1.0,1.0,0.2777378559112549,Pegasos QSVC,10,100
0.1515151515151515,0.1347517730496453,1.0,1.0,0.0722433460076045,0.081967213114754,0.4076662063598633,Pegasos QSVC,10,10
0.7017543859649122,0.7032786885245902,0.9953596287703016,0.9803921568627452,0.5437262357414449,0.546448087431694,961.8744399547576,Pegasos QSVC,400,750
0.8498583569405099,0.898861352980576,0.953125,0.8823529411764706,0.8504435994930292,0.819672131147541,21.692513942718502,Pegasos QSVC,200,1000
0.0,0.0,0.0,0.0,0.0,0.0,0.0007660388946533,Pegasos QSVC,1,100
0.7783783783783783,0.8367213114754098,0.8668478260869565,0.7700534759358288,0.8086185044359949,0.7868852459016393,20.730106830596924,Pegasos QSVC,100,10
0.9454545454545454,0.976426799007444,0.9562575941676792,0.900990099009901,0.9974651457541192,0.994535519125683,10.416224956512451,Pegasos QSVC,100,100
0.962162162162162,0.9766266582438408,0.9735516372795968,0.9518716577540108,0.9797211660329532,0.9726775956284152,70.39848017692566,Pegasos QSVC,300,750
