size,model,runtime,size2
266.6,SVC_linear,0.007603883743286133,
533.2,SVC_linear,0.008785247802734375,
799.8000000000001,SVC_linear,0.013668060302734375,
1066.4,SVC_linear,0.020458221435546875,
1333.0,SVC_linear,0.030262470245361328,
1599.6,SVC_linear,0.04405069351196289,
1866.2000000000003,SVC_linear,0.06158924102783203,
2132.8,SVC_linear,0.07808160781860352,
2399.4,SVC_linear,0.09113144874572754,
2666.0,SVC_linear,0.12123346328735352,
,SVC_rbf,0.007977008819580078,266.6
,SVC_rbf,0.015314817428588867,533.2
,SVC_rbf,0.02350330352783203,799.8000000000001
,SVC_rbf,0.04372382164001465,1066.4
,SVC_rbf,0.06833553314208984,1333.0
,SVC_rbf,0.08831071853637695,1599.6
,SVC_rbf,0.12792563438415527,1866.2000000000003
,SVC_rbf,0.1676161289215088,2132.8
,SVC_rbf,0.20080828666687012,2399.4
,SVC_rbf,0.23222661018371582,2666.0
