size,model,runtime,data
55.6,vqc_su2_spsa,266.6691167354584,predictive maintenance
127.0857142857143,vqc_su2_spsa,609.1616349220276,predictive maintenance
198.5714285714286,vqc_su2_spsa,950.873044013977,predictive maintenance
270.0571428571429,vqc_su2_spsa,1255.217131137848,predictive maintenance
341.54285714285714,vqc_su2_spsa,1544.3520102500916,predictive maintenance
413.02857142857147,vqc_su2_spsa,1842.381005048752,predictive maintenance
484.5142857142858,vqc_su2_spsa,2258.248341560364,predictive maintenance
556.0,vqc_su2_spsa,2539.809586763382,predictive maintenance
49.1,vqc_su2_spsa,652.7054512500763,diabetes
112.22857142857144,vqc_su2_spsa,1461.3977324962616,diabetes
175.3571428571429,vqc_su2_spsa,2276.164389848709,diabetes
238.48571428571432,vqc_su2_spsa,3078.829327821732,diabetes
301.61428571428576,vqc_su2_spsa,3667.644431114197,diabetes
364.74285714285713,vqc_su2_spsa,4612.688653230667,diabetes
427.8714285714286,vqc_su2_spsa,5383.512592077255,diabetes
491.0,vqc_su2_spsa,6139.31817984581,diabetes
72.0,vqc_su2_cobyla,204.03936052322388,raisin
164.57142857142858,vqc_su2_cobyla,486.6940438747406,raisin
257.1428571428572,vqc_su2_cobyla,725.5822093486786,raisin
349.7142857142858,vqc_su2_cobyla,954.7077131271362,raisin
442.28571428571433,vqc_su2_cobyla,1232.6548874378204,raisin
534.8571428571429,vqc_su2_cobyla,1453.7398118972778,raisin
627.4285714285716,vqc_su2_cobyla,1697.3065013885498,raisin
720.0,vqc_su2_cobyla,2016.719854593277,raisin
