feature_map_type,val_score,f1_test,f1_train,prec_train,prec_test,recall_train,recall_test,Quantum Kernel,Model,tau,C
Pauli,0.8520599250936329,0.7839985155057695,0.788260282777874,0.7311372932426106,0.7260061159505674,0.8550656660412758,0.8520599250936329,Yes,PEGASOS,10,100
Pauli,0.8520599250936329,0.7839985155057695,0.788260282777874,0.7311372932426106,0.7260061159505674,0.8550656660412758,0.8520599250936329,Yes,PEGASOS,10,500
Pauli,0.8520599250936329,0.7839985155057695,0.788260282777874,0.7311372932426106,0.7260061159505674,0.8550656660412758,0.8520599250936329,Yes,PEGASOS,10,200
Pauli,0.8520599250936329,0.7839985155057695,0.788260282777874,0.7311372932426106,0.7260061159505674,0.8550656660412758,0.8520599250936329,Yes,PEGASOS,10,1000
Pauli,0.6385767790262172,0.6896206608116934,0.6748041921284111,0.77777163983935,0.7969057728641338,0.6205440900562852,0.6385767790262172,Yes,PEGASOS,20,500
Pauli,0.8520599250936329,0.7839985155057695,0.788260282777874,0.7311372932426106,0.7260061159505674,0.8550656660412758,0.8520599250936329,Yes,PEGASOS,1,100
Pauli,0.8520599250936329,0.7839985155057695,0.788260282777874,0.7311372932426106,0.7260061159505674,0.8550656660412758,0.8520599250936329,Yes,PEGASOS,1,500
Pauli,0.8520599250936329,0.7839985155057695,0.788260282777874,0.7311372932426106,0.7260061159505674,0.8550656660412758,0.8520599250936329,Yes,PEGASOS,1,10
Pauli,0.8520599250936329,0.7839985155057695,0.788260282777874,0.7311372932426106,0.7260061159505674,0.8550656660412758,0.8520599250936329,Yes,PEGASOS,20,10
Pauli,0.8520599250936329,0.7839985155057695,0.788260282777874,0.7311372932426106,0.7260061159505674,0.8550656660412758,0.8520599250936329,Yes,PEGASOS,20,100
Pauli,0.8520599250936329,0.7839985155057695,0.788260282777874,0.7311372932426106,0.7260061159505674,0.8550656660412758,0.8520599250936329,Yes,PEGASOS,1,200
Pauli,0.147940074906367,0.0381313733037618,0.0366937396093779,0.0210059611600589,0.0218862657633014,0.1449343339587242,0.147940074906367,Yes,PEGASOS,1,1000
Pauli,0.8520599250936329,0.7839985155057695,0.788260282777874,0.7311372932426106,0.7260061159505674,0.8550656660412758,0.8520599250936329,Yes,PEGASOS,20,200
Pauli,0.8520599250936329,0.7839985155057695,0.788260282777874,0.7311372932426106,0.7260061159505674,0.8550656660412758,0.8520599250936329,Yes,PEGASOS,10,10
Pauli,0.8520599250936329,0.7839985155057695,0.788260282777874,0.7311372932426106,0.7260061159505674,0.8550656660412758,0.8520599250936329,Yes,PEGASOS,10,100
Pauli,0.8520599250936329,0.7839985155057695,0.788260282777874,0.7311372932426106,0.7260061159505674,0.8550656660412758,0.8520599250936329,Yes,PEGASOS,10,500
Pauli,0.8520599250936329,0.7839985155057695,0.788260282777874,0.7311372932426106,0.7260061159505674,0.8550656660412758,0.8520599250936329,Yes,PEGASOS,10,200
Pauli,0.8520599250936329,0.7839985155057695,0.788260282777874,0.7311372932426106,0.7260061159505674,0.8550656660412758,0.8520599250936329,Yes,PEGASOS,10,1000
Pauli,0.6385767790262172,0.6896206608116934,0.6748041921284111,0.77777163983935,0.7969057728641338,0.6205440900562852,0.6385767790262172,Yes,PEGASOS,20,500
Pauli,0.8520599250936329,0.7839985155057695,0.788260282777874,0.7311372932426106,0.7260061159505674,0.8550656660412758,0.8520599250936329,Yes,PEGASOS,1,100
Pauli,0.8520599250936329,0.7839985155057695,0.788260282777874,0.7311372932426106,0.7260061159505674,0.8550656660412758,0.8520599250936329,Yes,PEGASOS,1,500
Pauli,0.8520599250936329,0.7839985155057695,0.788260282777874,0.7311372932426106,0.7260061159505674,0.8550656660412758,0.8520599250936329,Yes,PEGASOS,1,10
Pauli,0.8520599250936329,0.7839985155057695,0.788260282777874,0.7311372932426106,0.7260061159505674,0.8550656660412758,0.8520599250936329,Yes,PEGASOS,20,10
Pauli,0.8520599250936329,0.7839985155057695,0.788260282777874,0.7311372932426106,0.7260061159505674,0.8550656660412758,0.8520599250936329,Yes,PEGASOS,20,100
Pauli,0.8520599250936329,0.7839985155057695,0.788260282777874,0.7311372932426106,0.7260061159505674,0.8550656660412758,0.8520599250936329,Yes,PEGASOS,1,200
Pauli,0.147940074906367,0.0381313733037618,0.0366937396093779,0.0210059611600589,0.0218862657633014,0.1449343339587242,0.147940074906367,Yes,PEGASOS,1,1000
Pauli,0.8520599250936329,0.7839985155057695,0.788260282777874,0.7311372932426106,0.7260061159505674,0.8550656660412758,0.8520599250936329,Yes,PEGASOS,20,200
Pauli,0.8520599250936329,0.7839985155057695,0.788260282777874,0.7311372932426106,0.7260061159505674,0.8550656660412758,0.8520599250936329,Yes,PEGASOS,10,10
