size,model,runtime
604.7,SVC_linear,0.02488422393798828
1209.4,SVC_linear,0.08253788948059082
1814.1000000000004,SVC_linear,0.17970728874206543
2418.8,SVC_linear,0.3172004222869873
3023.5,SVC_linear,0.5348234176635742
3628.2,SVC_linear,0.6739416122436523
4232.900000000001,SVC_linear,1.061610221862793
4837.6,SVC_linear,1.2463538646697998
5442.3,SVC_linear,1.629159927368164
6047.0,SVC_linear,2.0282609462738037
604.7,SVC_rbf,0.04904317855834961
1209.4,SVC_rbf,0.16667795181274414
1814.1000000000004,SVC_rbf,0.3441786766052246
2418.8,SVC_rbf,0.6210653781890869
3023.5,SVC_rbf,1.0283684730529785
3628.2,SVC_rbf,1.3200137615203857
4232.900000000001,SVC_rbf,1.8642957210540771
4837.6,SVC_rbf,2.3962910175323486
5442.3,SVC_rbf,2.941178321838379
6047.0,SVC_rbf,3.5280027389526367
