size,model,runtime
800.0,SVC_linear,0.014130592346191406
1600.0,SVC_linear,0.017208099365234375
2400.0000000000005,SVC_linear,0.027186155319213867
3200.0,SVC_linear,0.0416102409362793
4000.0,SVC_linear,0.03927183151245117
4800.0,SVC_linear,0.06501293182373047
5600.000000000001,SVC_linear,0.07816386222839355
6400.0,SVC_linear,0.11666679382324219
7200.0,SVC_linear,0.14092278480529785
8000.0,SVC_linear,0.15509939193725586
800.0,SVC_rbf,0.01572585105895996
1600.0,SVC_rbf,0.03327608108520508
2400.0000000000005,SVC_rbf,0.055770158767700195
3200.0,SVC_rbf,0.06869888305664062
4000.0,SVC_rbf,0.10101580619812012
4800.0,SVC_rbf,0.15032505989074707
5600.000000000001,SVC_rbf,0.1853322982788086
6400.0,SVC_rbf,0.1797950267791748
7200.0,SVC_rbf,0.3202354907989502
8000.0,SVC_rbf,0.3221609592437744
