num_features,model,runtime
1.0,SVC_linear,0.016161441802978516
2.0,SVC_linear,0.01477813720703125
3.0,SVC_linear,0.014607667922973633
4.0,SVC_linear,0.015235424041748047
5.0,SVC_linear,0.015645265579223633
6.0,SVC_linear,0.015438079833984375
7.0,SVC_linear,0.015479564666748047
8.0,SVC_linear,0.015954971313476562
1.0,SVC_rbf,0.029957294464111328
2.0,SVC_rbf,0.024442434310913086
3.0,SVC_rbf,0.02561163902282715
4.0,SVC_rbf,0.025261402130126953
5.0,SVC_rbf,0.025166749954223633
6.0,SVC_rbf,0.024882793426513672
7.0,SVC_rbf,0.025483131408691406
8.0,SVC_rbf,0.02412891387939453
