f1_test,f1_train,prec_train,prec_test,recall_train,recall_test,elapsed,model,tau,C,feature_map_type,optimizer,objective_vals,Ansatz,Training time,Model,Max Iter,reps,data
0.8695652173913043,0.8536912751677852,0.8346456692913385,0.8163265306122449,0.8736263736263736,0.9302325581395348,933.7203328609468,Pegasos QSVC,400.0,100.0,0,0,0,0,0.0,0,0.0,0.0,raisin
0.8439306358381502,0.8815977175463624,0.9169139465875372,0.8390804597701149,0.8489010989010989,0.8488372093023255,10124.40960097313,QSVC,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,raisin
0.8505747126436781,0.8654646324549236,0.8739495798319328,0.8409090909090909,0.8571428571428571,0.8604651162790697,0.00323486328125,Decision Tree,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,raisin
0.8505747126436781,0.8607954545454546,0.8911764705882353,0.8409090909090909,0.8324175824175825,0.8604651162790697,0.0137526988983154,Logistic Regression,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,raisin
0.8176100628930817,0.8213740458015267,0.9243986254295532,0.8904109589041096,0.739010989010989,0.7558139534883721,0.0067200660705566,Naive Bayes,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,raisin
0.8520710059171598,0.9333333333333332,0.9877300613496932,0.8674698795180723,0.8846153846153846,0.8372093023255814,0.0776219367980957,Random Forest,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,raisin
0.8520710059171598,0.87627365356623,0.9318885448916407,0.8674698795180723,0.8269230769230769,0.8372093023255814,0.105825662612915,SVC,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,raisin
0.8313253012048193,0.823021582733813,0.8640483383685801,0.8625,0.7857142857142857,0.8023255813953488,3433.498190879822,VQC,0.0,0.0,Pauli,cobyla,"[1.0329771903191045, 1.061389157689562, 1.0332289496535585, 1.0398944378457782, 1.0202324127517661, 1.0396739856997823, 1.008041491574777, 1.05081208774831, 1.0028218678937681, 1.0237648906087422, 0.9863522667664615, 1.0013213813750375, 0.9729031505385447, 0.9971011282020912, 0.9678708214905883, 0.972377064885363, 0.968667003425302, 0.9723110292779176, 0.9796115433453758, 0.9738049484303525, 0.974088767438511, 0.9672796221499608, 0.9851831857659937, 0.9577912296199886, 0.9787240101437602, 0.9549284958844328, 0.9876047771152252, 0.9494523203624089, 0.9424394474921256, 0.9290792956211182, 0.929079295621118, 0.9290792956211179, 0.9290792956211179, 0.9290792956211179, 0.9290792956211178, 0.9290792956211178, 0.9290792956211175, 0.9290792956211172, 0.9290792956211171, 0.9290792956211169, 0.9290792956211168, 0.9290792956211167, 0.9290792956211168, 0.9395761426642975, 0.9400858343105217, 0.9701239120203557, 0.9243233753333274, 0.9481475739871674, 0.9334430285578976, 0.9465054950389846, 0.9360737806014896, 0.9443822974829773, 0.9188078767738597, 0.9162738597641447, 0.9194188113752686, 0.913018124755998, 0.9204689932580439, 0.9397114707555709, 0.907736014726816, 0.9399427498759783, 0.9123734697511848, 0.9439759932272401, 0.9201430075349717, 0.9550052288174607, 0.9073972702385867, 0.9178983213886315, 0.9160940720293291, 0.9783506420367334, 0.9161497003175495, 0.9568745188333122, 0.934459440170404, 0.9080506359468095, 0.9397746238422848, 0.956387819897131, 0.9073972702385861, 0.9025269570644089, 0.9025269570644089, 0.9714489987737854, 0.9025269570644089, 0.9833971811068806, 0.9025269570644087, 0.9377738769617695, 0.9025269570644083, 0.9475871227591944, 0.9025269570644089, 0.9288945133854901, 0.9025269570644092, 0.9202273824863517, 0.9025269570644092, 0.9284325604895128, 0.9025269570644089, 0.9280918854000602, 0.9025269570644089, 0.9109747889207204, 0.9068754691999669, 0.928107799922047, 0.9003049076385982, 0.8772552643021588, 0.882838320346027, 0.8766733767777372, 0.8876543786752357, 0.8971138719228695, 0.8819171340018382, 0.8924145001024114, 0.9145650577810097, 0.9468886034062185, 0.9091763120023646, 0.8834343413229365, 0.8704949477909237, 0.9250168853515908, 0.8694787981035087, 0.9274612160042968, 0.88990908439097, 0.9033474535875451, 0.8782385457858155, 0.9744336455204027, 0.8704638868188909, 0.9136699772049813, 0.8756680810987324, 0.8805846427554738, 0.8697235106905601, 0.860902250357725, 0.8896723770078697, 0.9115974439589289, 0.869012425805062, 0.914246025173671, 0.8602371011646355, 0.9055219065976776, 0.8602371011646354, 0.8694757645271911, 0.8602371011646351, 0.8785994218080321, 0.8602371011646359, 0.8654487134332954, 0.860237101164635, 0.8623369919524325, 0.8602371011646356, 0.8651045690039291, 0.8602371011646359, 0.8829724413585498, 0.8686445972877153, 0.9032424378362744, 0.8708033949705579, 0.8943802402161168, 0.8595226279938913, 0.9114866929135252, 0.862170242357253, 0.882172305146355, 0.9389031765904823, 0.8701487623220632, 0.8583412600960284, 0.8859268990458583, 0.8643030576977923, 0.8555138371555289, 0.8545561171019459, 0.8580771958460977, 0.8555902582809932, 0.8967745187630097, 0.8543223528891397, 0.8650749890085188, 0.8516420089813557, 0.8499874706479299, 0.8477086668573275, 0.8512170139561561, 0.8550371778148431, 0.8498162162988945, 0.8490915664693192, 0.882684269493303, 0.8494375096078718, 0.8524950879249659, 0.8478317746533113, 0.8501067842325897, 0.850728668659919, 0.8487772162646017, 0.8470018783792571, 0.8680430446285529, 0.8499341151659552, 0.8560930709859361, 0.8474576570049035, 0.8579577151657473, 0.8468804728588266, 0.8586856877107812, 0.846880472858826, 0.8567927852740518, 0.8468804728588266, 0.8553580969722557, 0.8468804728588263, 0.8510754371181096, 0.8485499605060606, 0.8514941725952068, 0.8492895598948208, 0.8636481225797618, 0.851444751976832, 0.8458509419699025, 0.8527185354512189, 0.876446886579903, 0.8449412116087697, 0.8551492779168115, 0.8490821115210468, 0.8582737991312317, 0.8481060936834467, 0.8492039045595402, 0.8434721381006404, 0.8706656020635973, 0.8476623868407402, 0.8534647840612654, 0.8407375347969602, 0.8547329078788172, 0.8397921283756045, 0.8503834752402964, 0.8468776064734936, 0.845046183865444, 0.8431564418770209, 0.8502865593301406, 0.8383220401491595, 0.8403897333794002, 0.8342391378391192, 0.8460528002610145, 0.8358952148778757, 0.8346424037500627, 0.8310401626870392, 0.8314814521297952, 0.8315972933046977, 0.8329368483831634, 0.8323374971343671, 0.8350484147135606, 0.837001631055173, 0.8314313041793068, 0.8295589329016928, 0.8345596086414205, 0.8273372254426126, 0.8286460320342955, 0.8321889784629647, 0.8279016805216031, 0.8260976420591206, 0.8262577036571008, 0.8261053565429342, 0.8257240256754834, 0.8255261518807877, 0.825526151880787, 0.8299053025978839, 0.8297059268743614, 0.8257130875433579, 0.8246754524701244, 0.8227436483328868, 0.8233644423329991, 0.826766115765947, 0.8228066480647436, 0.8196967887847028, 0.8208554809194564]",su2,3433.498190879822,VQC,250.0,2.0,raisin
