size,model,runtime
49.1,SVC_linear,0.006432771682739258
98.2,SVC_linear,0.004084348678588867
147.3,SVC_linear,0.004067182540893555
196.4,SVC_linear,0.005010128021240234
245.5,SVC_linear,0.005751371383666992
294.59999999999997,SVC_linear,0.006771087646484375
343.70000000000005,SVC_linear,0.008260488510131836
392.8,SVC_linear,0.009749650955200195
441.90000000000003,SVC_linear,0.012071847915649414
491.0,SVC_linear,0.01225590705871582
49.1,SVC_rbf,0.0043108463287353516
98.2,SVC_rbf,0.004337787628173828
147.3,SVC_rbf,0.004679203033447266
196.4,SVC_rbf,0.00597381591796875
245.5,SVC_rbf,0.007090330123901367
294.59999999999997,SVC_rbf,0.008728504180908203
343.70000000000005,SVC_rbf,0.010586738586425781
392.8,SVC_rbf,0.012362480163574219
441.90000000000003,SVC_rbf,0.01445460319519043
491.0,SVC_rbf,0.018009662628173828
