size,model,runtime
72.0,Pegasos QSVC,175.93318605422974
144.0,Pegasos QSVC,268.2750940322876
216.00000000000003,Pegasos QSVC,297.6943464279175
288.0,Pegasos QSVC,373.69011092185974
360.0,Pegasos QSVC,333.7935936450958
432.0,Pegasos QSVC,370.7343111038208
504.00000000000006,Pegasos QSVC,370.87792110443115
576.0,Pegasos QSVC,402.4246790409088
648.0,Pegasos QSVC,376.4228239059448
720.0,Pegasos QSVC,345.7846121788025
