f1_test,f1_train,prec_train,prec_test,recall_train,recall_test,elapsed,model,tau,C
0.5263157894736842,0.6051136363636364,0.4338085539714867,0.3571428571428571,1.0,1.0,0.5840468406677246,Pegasos QSVC,1,10
0.5263157894736842,0.6051136363636364,0.4338085539714867,0.3571428571428571,1.0,1.0,0.0002388954162597,Pegasos QSVC,1,200
0.4158415841584158,0.5041551246537397,0.6148648648648649,0.4565217391304347,0.4272300469483568,0.3818181818181818,2.602800130844116,Pegasos QSVC,20,750
0.4181818181818181,0.5449438202247191,0.6783216783216783,0.4181818181818181,0.4553990610328638,0.4181818181818181,15.241339206695557,Pegasos QSVC,50,1000
0.0,0.0277777777777777,1.0,0.0,0.0140845070422535,0.0,152.35366916656494,Pegasos QSVC,200,750
0.3368421052631579,0.6106442577030813,0.7569444444444444,0.4,0.5117370892018779,0.2909090909090909,104.6688199043274,Pegasos QSVC,100,200
0.3333333333333333,0.4840425531914893,0.558282208588957,0.3396226415094339,0.4272300469483568,0.3272727272727272,0.988560914993286,Pegasos QSVC,10,500
0.5263157894736842,0.6051136363636364,0.4338085539714867,0.3571428571428571,1.0,1.0,0.7210721969604492,Pegasos QSVC,10,100
0.0,0.0,0.0,0.0,0.0,0.0,0.7107717990875244,Pegasos QSVC,10,10
0.4313725490196078,0.7127071823204421,0.8657718120805369,0.4680851063829787,0.6056338028169014,0.4,484.4216170310974,Pegasos QSVC,400,750
0.3505154639175258,0.6572237960339943,0.8285714285714286,0.4047619047619047,0.5446009389671361,0.3090909090909091,142.00701022148132,Pegasos QSVC,200,1000
0.0,0.0,0.0,0.0,0.0,0.0,0.0002448558807373,Pegasos QSVC,1,100
0.0,0.0,0.0,0.0,0.0,0.0,95.70159578323364,Pegasos QSVC,100,10
0.3478260869565217,0.5698005698005698,0.7246376811594203,0.4324324324324324,0.4694835680751174,0.2909090909090909,95.68715476989746,Pegasos QSVC,100,100
0.5744680851063829,0.7243816254416963,0.5807365439093485,0.4060150375939849,0.9624413145539906,0.9818181818181818,1279.9313879013062,Pegasos QSVC,300,750
0.5314009661835749,0.6484018264840182,0.4797297297297297,0.3618421052631579,1.0,1.0,77.01111125946045,Pegasos QSVC,100,500
0.0,0.0,0.0,0.0,0.0,0.0,0.4394819736480713,Pegasos QSVC,10,200
0.5263157894736842,0.6103151862464183,0.4391752577319587,0.3571428571428571,1.0,1.0,17.34811019897461,Pegasos QSVC,50,750
0.5076923076923077,0.5596330275229358,0.547085201793722,0.44,0.5727699530516432,0.6,2.0519230365753174,Pegasos QSVC,20,10
0.5263157894736842,0.6051136363636364,0.4338085539714867,0.3571428571428571,1.0,1.0,2.4871339797973637,Pegasos QSVC,20,1000
0.0,0.0,0.0,0.0,0.0,0.0,0.000234842300415,Pegasos QSVC,1,500
0.3516483516483517,0.725212464589235,0.9142857142857144,0.4444444444444444,0.6009389671361502,0.2909090909090909,525.207249879837,Pegasos QSVC,400,500
0.6101694915254238,0.7796610169491526,0.6509433962264151,0.4426229508196721,0.971830985915493,0.9818181818181818,372.5933089256287,Pegasos QSVC,300,200
0.3214285714285714,0.6050000000000001,0.6470588235294118,0.3157894736842105,0.568075117370892,0.3272727272727272,2.95397686958313,Pegasos QSVC,20,100
0.0,0.0,0.0,0.0,0.0,0.0,848.2049858570099,Pegasos QSVC,400,10
0.438095238095238,0.7146666666666667,0.8271604938271605,0.46,0.6291079812206573,0.4181818181818181,320.6673176288605,Pegasos QSVC,300,1000
0.5988700564971752,0.7554744525547445,0.6179104477611941,0.4344262295081967,0.971830985915493,0.9636363636363636,165.84678506851196,Pegasos QSVC,200,100
0.3846153846153846,0.73224043715847,0.8758169934640523,0.4081632653061224,0.6291079812206573,0.3636363636363636,138.60921716690063,Pegasos QSVC,200,500
0.0,0.0,0.0,0.0,0.0,0.0,0.3983840942382812,Pegasos QSVC,10,750
0.3999999999999999,0.4316109422492401,0.6120689655172413,0.4444444444444444,0.3333333333333333,0.3636363636363636,3.212239980697632,Pegasos QSVC,20,500
0.5670103092783505,0.7045075125208681,0.5466321243523317,0.39568345323741,0.9906103286384976,1.0,658.8398847579956,Pegasos QSVC,400,100
0.4736842105263158,0.5281173594132028,0.5510204081632653,0.4576271186440678,0.5070422535211268,0.4909090909090909,0.4888379573822021,Pegasos QSVC,10,1000
0.5288461538461539,0.6209912536443148,0.4503171247357294,0.3594771241830065,1.0,1.0,15.03586721420288,Pegasos QSVC,50,200
0.0,0.0,0.0,0.0,0.0,0.0,0.0002350807189941,Pegasos QSVC,1,750
0.5263157894736842,0.6051136363636364,0.4338085539714867,0.3571428571428571,1.0,1.0,0.0002551078796386,Pegasos QSVC,1,1000
0.5132743362831858,0.5492227979274611,0.6127167630057804,0.5,0.4976525821596244,0.5272727272727272,16.619175910949707,Pegasos QSVC,50,500
0.0,0.0368663594470046,1.0,0.0,0.0187793427230046,0.0,43.18025803565979,Pegasos QSVC,100,750
0.4631578947368421,0.6312849162011174,0.7793103448275862,0.55,0.5305164319248826,0.4,170.88934922218323,Pegasos QSVC,200,200
0.0,0.0277777777777777,1.0,0.0,0.0140845070422535,0.0,35.754194021224976,Pegasos QSVC,100,1000
0.0,0.0,0.0,0.0,0.0,0.0,2.164117813110352,Pegasos QSVC,20,200
0.5346534653465347,0.6625,0.4964871194379391,0.3673469387755102,0.9953051643192488,0.9818181818181818,364.1248948574066,Pegasos QSVC,300,100
0.3958333333333333,0.7592067988668556,0.9571428571428572,0.4634146341463415,0.6291079812206573,0.3454545454545454,494.2546172142029,Pegasos QSVC,400,1000
