size,model,runtime
55.6,SVC_linear,0.026839494705200195
111.2,SVC_linear,0.003773927688598633
166.8,SVC_linear,0.004179716110229492
222.4,SVC_linear,0.00501704216003418
278.0,SVC_linear,0.005655050277709961
333.59999999999997,SVC_linear,0.006478786468505859
389.20000000000005,SVC_linear,0.0075893402099609375
444.8,SVC_linear,0.009057044982910156
500.40000000000003,SVC_linear,0.009816646575927734
556.0,SVC_linear,0.01117563247680664
55.6,SVC_rbf,0.0029752254486083984
111.2,SVC_rbf,0.002617359161376953
166.8,SVC_rbf,0.003219127655029297
222.4,SVC_rbf,0.004010438919067383
278.0,SVC_rbf,0.0051648616790771484
333.59999999999997,SVC_rbf,0.006484508514404297
389.20000000000005,SVC_rbf,0.007906198501586914
444.8,SVC_rbf,0.008921623229980469
500.40000000000003,SVC_rbf,0.010396957397460938
556.0,SVC_rbf,0.013288259506225586
