f1_test,f1_train,prec_train,prec_test,recall_train,recall_test,elapsed,model,tau,C
0.0,0.0,0.0,0.0,0.0,0.0,29.68146586418152,Pegasos QSVC,100,10
0.0667408231368186,0.7049608355091384,0.5532786885245902,0.0345423143350604,0.9712230215827338,0.9836065573770492,20.75321793556213,Pegasos QSVC,100,100
0.0,0.0353356890459364,1.0,0.0,0.0179856115107913,0.0,16.866286039352417,Pegasos QSVC,100,1000
0.1476274165202109,0.7717996289424861,0.7969348659003831,0.0826771653543307,0.7482014388489209,0.6885245901639344,23.084824800491333,Pegasos QSVC,100,200
0.1397379912663755,0.735408560311284,0.8008474576271186,0.0806045340050377,0.6798561151079137,0.5245901639344263,17.02484107017517,Pegasos QSVC,100,500
0.1988950276243094,0.6987447698744771,0.835,0.1196013289036544,0.6007194244604317,0.5901639344262295,17.58069372177124,Pegasos QSVC,100,750
0.0,0.0,0.0,0.0,0.0,0.0,0.3230960369110107,Pegasos QSVC,10,10
0.059194565744784,0.6666666666666666,0.5,0.0305,1.0,1.0,0.3787059783935547,Pegasos QSVC,10,100
0.0921212121212121,0.5900383141762452,0.6311475409836066,0.0497382198952879,0.5539568345323741,0.6229508196721312,0.3232591152191162,Pegasos QSVC,10,1000
0.0,0.0,0.0,0.0,0.0,0.0,0.2237257957458496,Pegasos QSVC,10,200
0.0695134061569016,0.5280289330922242,0.5309090909090909,0.0369978858350951,0.5251798561151079,0.5737704918032787,0.6679837703704834,Pegasos QSVC,10,500
0.0,0.0,0.0,0.0,0.0,0.0,0.2764692306518554,Pegasos QSVC,10,750
0.059194565744784,0.6666666666666666,0.5,0.0305,1.0,1.0,0.4570989608764648,Pegasos QSVC,1,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0003468990325927,Pegasos QSVC,1,100
0.059194565744784,0.6666666666666666,0.5,0.0305,1.0,1.0,0.000251293182373,Pegasos QSVC,1,1000
0.059194565744784,0.6666666666666666,0.5,0.0305,1.0,1.0,0.0002732276916503,Pegasos QSVC,1,200
0.0,0.0,0.0,0.0,0.0,0.0,0.0002479553222656,Pegasos QSVC,1,500
0.0,0.0,0.0,0.0,0.0,0.0,0.0004107952117919,Pegasos QSVC,1,750
0.2230215827338129,0.6830357142857143,0.9,0.1428571428571428,0.5503597122302158,0.5081967213114754,123.75985407829285,Pegasos QSVC,200,10
0.1637426900584795,0.7962264150943398,0.8373015873015873,0.0929203539823008,0.7589928057553957,0.6885245901639344,90.74628615379332,Pegasos QSVC,200,100
0.2092457420924574,0.7961538461538462,0.8553719008264463,0.1228571428571428,0.7446043165467626,0.7049180327868853,73.08193898200989,Pegasos QSVC,200,1000
0.1701149425287356,0.7734374999999999,0.8461538461538461,0.0989304812834224,0.7122302158273381,0.6065573770491803,82.7171778678894,Pegasos QSVC,200,200
0.0706713780918728,0.7211796246648793,0.5747863247863247,0.0366524129505192,0.9676258992805756,0.9836065573770492,72.77794885635376,Pegasos QSVC,200,500
0.054054054054054,0.1818181818181818,0.9333333333333332,0.1538461538461538,0.1007194244604316,0.0327868852459016,67.95059609413147,Pegasos QSVC,200,750
0.0595703125,0.6706875753920386,0.5045372050816697,0.0306995470558631,1.0,1.0,1.069231033325195,Pegasos QSVC,20,10
0.0592520641087906,0.6698795180722892,0.5036231884057971,0.0305305305305305,1.0,1.0,1.3794560432434082,Pegasos QSVC,20,100
0.0788954635108481,0.5355191256830601,0.5424354243542435,0.0419727177334732,0.5287769784172662,0.6557377049180327,1.1815998554229736,Pegasos QSVC,20,1000
0.0,0.0142857142857142,1.0,0.0,0.0071942446043165,0.0,1.5113909244537354,Pegasos QSVC,20,200
0.0592592592592592,0.418103448275862,0.521505376344086,0.0325732899022801,0.3489208633093525,0.3278688524590163,1.6885778903961182,Pegasos QSVC,20,500
0.0,0.0,0.0,0.0,0.0,0.0,0.8030037879943848,Pegasos QSVC,20,750
0.0,0.0,0.0,0.0,0.0,0.0,272.3024709224701,Pegasos QSVC,300,10
0.0671516508114157,0.7260812581913499,0.5711340206185567,0.0347624565469293,0.9964028776978416,0.9836065573770492,197.39439368247983,Pegasos QSVC,300,100
0.1945945945945946,0.8121212121212121,0.9262672811059908,0.116504854368932,0.7230215827338129,0.5901639344262295,150.8072910308838,Pegasos QSVC,300,1000
0.0996621621621621,0.8035450516986705,0.681704260651629,0.0525378450578806,0.9784172661870504,0.9672131147540984,176.57350897789,Pegasos QSVC,300,200
0.07375,0.7548209366391185,0.6116071428571429,0.0383365821962313,0.9856115107913668,0.9672131147540984,140.36408615112305,Pegasos QSVC,300,500
0.2785714285714285,0.7852760736196319,0.909952606635071,0.1780821917808219,0.6906474820143885,0.639344262295082,146.0395369529724,Pegasos QSVC,300,750
0.059194565744784,0.6666666666666666,0.5,0.0305,1.0,1.0,483.7744529247284,Pegasos QSVC,400,10
0.0968801313628899,0.7982062780269057,0.6828644501278772,0.0509939498703543,0.960431654676259,0.9672131147540984,377.5561089515686,Pegasos QSVC,400,100
0.2117647058823529,0.3695014662756599,1.0,0.375,0.2266187050359712,0.1475409836065573,416.1813099384308,Pegasos QSVC,400,1000
0.3186813186813187,0.7533039647577093,0.9715909090909092,0.2396694214876033,0.6151079136690647,0.4754098360655737,369.4240691661835,Pegasos QSVC,400,200
0.1244541484716157,0.8403908794788275,0.7678571428571429,0.0666666666666666,0.9280575539568344,0.9344262295081968,412.17773604393005,Pegasos QSVC,400,500
0.0307692307692307,0.1948051948051948,1.0,0.25,0.1079136690647482,0.0163934426229508,370.20611786842346,Pegasos QSVC,400,750
