num_features,model,runtime
1.0,SVC_linear,0.021062135696411133
2.0,SVC_linear,0.01780557632446289
3.0,SVC_linear,0.011804580688476562
4.0,SVC_linear,0.011664152145385742
5.0,SVC_linear,0.011873245239257812
6.0,SVC_linear,0.012232303619384766
7.0,SVC_linear,0.012000322341918945
8.0,SVC_linear,0.012979745864868164
1.0,SVC_rbf,0.034970760345458984
2.0,SVC_rbf,0.017127513885498047
3.0,SVC_rbf,0.01785564422607422
4.0,SVC_rbf,0.017773151397705078
5.0,SVC_rbf,0.01768636703491211
6.0,SVC_rbf,0.01793813705444336
7.0,SVC_rbf,0.01870250701904297
8.0,SVC_rbf,0.018257617950439453
